YEAR,Month,MaxTemp,MinTemp,RelativeHumidity,Rainfall
1990,3,34.6,19.7,73,151
1990,4,34.5,22.7,77,154
1990,5,35.4,25,79,202
1990,6,34.2,26.7,84,229
1990,7,32.7,26,87,567
1990,8,35.3,26.9,83,227
1990,9,34.8,26.3,84,247
1990,10,34,23.6,78,181
1990,11,32.8,21.6,75,103
1990,12,28.6,16,71,6
1991,1,28,13.8,69,27
1991,2,33,17.5,63,8
1991,3,36.8,21.9,61,46
1991,4,37.8,24.4,71,53
1991,5,34.2,23.3,78,529
1991,6,34,25.9,84,320
1991,7,35,26.7,85,318
1991,8,36.2,26.4,84,345
1991,9,34.5,25.7,84,692
1991,10,35,24.5,80,392
1991,11,30.2,19.1,74,14
1991,12,29.3,15,73,106
1992,1,27.4,13.5,69,1
1992,2,28,16,63,47
1992,3,36.6,22.1,61,0
1992,4,39.2,25,71,25
1992,5,36.2,24.2,78,153
1992,6,35.8,26.5,84,132
1992,7,33.8,25.9,85,386
1992,8,35.2,26.4,84,182
1992,9,35,26.1,84,148
1992,10,34.6,23.8,80,83
1992,11,33.5,18.6,74,2
1992,12,27.8,12.4,73,0
1993,1,28.6,12,73,5
1993,2,32,16.7,69,53
1993,3,34.6,18.7,62,87
1993,4,37,22.7,70,113
1993,5,35,23.5,80,556
1993,6,34.3,25.7,82,486
1993,7,33.2,26.2,84,418
1993,8,33.3,26.4,85,439
1993,9,35.3,25.6,83,374
1993,10,33.6,23.8,82,217
1993,11,30.8,19.2,79,19
1993,12,29.1,13.7,75,0
1994,1,29.1,13.1,69,13
1994,2,31,14.1,67,54
1994,3,35.2,21,65,115
1994,4,37.6,22.8,70,201
1994,5,36.1,25.3,76,254
1994,6,34.8,26.4,81,266
1994,7,34,26.7,79,153
1994,8,34.1,26.4,81,246
1994,9,35,25.8,78,169
1994,10,34.5,23.3,74,55
1994,11,33,18.8,71,14
1994,12,29.8,12.5,65,0
1995,1,29.2,11.3,64,8
1995,2,30.8,15.7,66,31
1995,3,38.8,19.3,58,0
1995,4,39,24.6,64,88
1995,5,38,26.3,75,264
1995,6,36.6,26.9,81,237
1995,7,33.5,26.3,82,354
1995,8,34.7,26.5,82,360
1995,9,35.6,26.3,82,205
1995,10,34.6,24,78,91
1995,11,34.2,19.9,74,112
1995,12,28.6,13.3,70,1
1996,1,29.2,12.1,73,0
1996,2,32,15.2,67,21
1996,3,37.6,22.2,67,54
1996,4,38.4,24,70,199
1996,5,36.5,25.7,78,208
1996,6,35.5,25.4,83,343
1996,7,34.1,26.7,84,257
1996,8,35.5,26.2,85,361
1996,9,37.5,26.2,83,244
1996,10,35.4,22.9,79,357
1996,11,33.7,18.2,76,0
1996,12,30.3,14,72,0
1997,1,27.6,11.5,70,2
1997,2,31.3,14.5,64,7
1997,3,35.6,21.1,66,136
1997,4,34.7,21.2,75,133
1997,5,36.2,24.6,77,151
1997,6,35.5,25.8,82,249
1997,7,34.4,26.4,86,549
1997,8,37.5,26.6,84,230
1997,9,34,25.5,86,402
1997,10,34,22.2,78,39
1997,11,33.7,18.9,75,1
1997,12,29,14.5,80,22
1998,1,27.3,12.7,77,49
1998,2,30.8,16.1,68,4
1998,3,34.8,18.3,64,83
1998,4,35.7,22.9,75,178
1998,5,37.5,25.3,78,405
1998,6,35.8,28.1,81,91
1998,7,34.1,26.4,87,521
1998,8,34.6,26.8,86,552
1998,9,36.2,26.3,85,246
1998,10,35.7,25.4,82,100
1998,11,33.6,20.6,78,83
1998,12,30.3,14.8,77,0
1999,1,29.4,12.7,72,0
1999,2,34.2,16.5,65,0
1999,3,37.6,21,57,0
1999,4,37.6,26,69,21
1999,5,37.5,25.1,79,428
1999,6,36.6,26.5,83,348
1999,7,35.6,26.2,86,553
1999,8,34,26.4,84,282
1999,9,34.6,25.9,84,361
1999,10,34.6,24.5,83,368
1999,11,32.4,19,76,13
1999,12,29.7,14.9,71,0
2000,1,28.7,14,72,13
2000,2,28.2,16.2,61,44
2000,3,34,20.7,63,172
2000,4,35.1,23.5,73,189
2000,5,36.6,24.1,78,471
2000,6,35.2,25.5,80,192
2000,7,35.2,26.5,80,200
2000,8,35,26.4,81,426
2000,9,34.4,25.8,81,214
2000,10,34.9,24.4,82,272
2000,11,32.5,20.2,73,0
2000,12,27.3,15.1,69,0
2001,1,28,13,63,0
2001,2,31.4,16.9,62,1
2001,3,35.8,20.7,56,33
2001,4,37.5,24.7,67,46
2001,5,35,24.2,79,402
2001,6,33.8,25.5,84,392
2001,7,34,25.9,82,202
2001,8,34,25.2,82,205
2001,9,34.2,24.3,83,209
2001,10,34.8,22.8,81,177
2001,11,32,19.3,78,18
2001,12,28.4,14.9,75,0
2002,1,28.2,14.6,68,24
2002,2,33.5,16.7,58,4
2002,3,35.5,20.3,58,51
2002,4,34.3,22.4,73,111
2002,5,35.4,23.9,79,272
2002,6,34.4,25.8,84,373
2002,7,35.2,25.2,85,446
2002,8,34.1,25.3,82,272
2002,9,35,25.3,79,144
2002,10,34.2,23,75,52
2002,11,32,19.8,74,40
2002,12,29.5,16,74,0
2003,1,27.5,11.7,75,0
2003,2,31.6,16.9,66,25
2003,3,34,19.4,65,96
2003,4,36.2,24.1,71,123
2003,5,36.3,24.4,73,140
2003,6,36.7,25.8,82,473
2003,7,35.3,26.4,80,191
2003,8,35.1,26.6,79,202
2003,9,34.2,24.9,83,264
2003,10,34,25,81,134
2003,11,32.1,19.4,67,0
2003,12,29.2,16.4,73,45
2004,1,27.5,14,74,0
2004,2,32.8,16,61,0
2004,3,35.7,22.4,63,9
2004,4,35.2,23.9,73,167
2004,5,38.1,26.3,68,162
2004,6,35.2,25,82,476
2004,7,34.5,25.4,82,295
2004,8,34.6,26.5,79,191
2004,9,34,25.5,86,839
2004,10,34.5,23.3,75,208
2004,11,31.1,18.6,70,0
2004,12,29.4,16.2,71,0
2005,1,28.5,14.2,69,1
2005,2,32.1,18.3,61,3
2005,3,35.6,22.4,67,155
2005,4,37,24.1,67,91
2005,5,36.4,24.2,74,291
2005,6,36.6,26.8,80,259
2005,7,33.7,25.8,82,542
2005,8,34,26.7,83,361
2005,9,35.1,26,82,514
2005,10,34.6,24.4,81,417
2005,11,31.4,19.8,73,3
2005,12,29,15.7,67,0
2006,1,28.2,13.5,69,0
2006,2,35.9,19.4,66,0
2006,3,38.5,21.9,54,0
2006,4,37.1,23.8,68,181
2006,5,36.8,25,73,185
2006,6,35,26.1,82,326
2006,7,35.6,26.7,80,331
2006,8,35.2,26.5,78,167
2006,9,35.7,25.8,81,663
2006,10,34.7,24.7,77,61
2006,11,32.6,19.9,69,5
2006,12,30.1,15.8,70,0
2007,1,28.8,12.5,68,0
2007,2,30.8,16.8,69,30
2007,3,36.7,19.6,55,11
2007,4,35.9,23.7,70,163
2007,5,37.5,25.9,71,185
2007,6,35.9,25.5,81,628
2007,7,34.8,25.8,85,753
2007,8,35.9,26.4,81,505
2007,9,34.9,26.5,81,179
2007,10,35.6,23.8,79,320
2007,11,31.8,19.9,78,111
2007,12,28.2,15,70,0
2008,1,29,14.5,70,23
2008,2,30.6,15.2,62,56
2008,3,34.6,22,68,45
2008,4,36.9,24.5,65,91
2008,5,36.7,24.9,71,205
2008,6,35.4,26.3,81,577
2008,7,34,26.3,84,563
2008,8,36,26.5,82,319
2008,9,34.8,26.2,81,279
2008,10,34.8,23.8,78,227
2008,11,32.3,19,70,0
2008,12,29,16.9,80,0
2009,1,28.1,14.8,72,1
2009,2,33.9,17.3,55,1
2009,3,36,21.4,53,43
2009,4,39.6,25.9,66,14
2009,5,37.8,25.2,72,168
2009,6,36.5,26.7,75,170
2009,7,35.7,26.7,80,676
2009,8,34.3,26.3,82,482
2009,9,35.3,26.3,81,298
2009,10,35.8,24.2,73,74
2009,11,33.9,20.2,67,4
2009,12,29,15.4,70,0
2010,1,29,12.8,72,0
2010,2,31.2,16.2,57,48
2010,3,37.3,23.3,59,22
2010,4,37.9,26.4,67,37
2010,5,36.9,25.9,72,177
2010,6,35.8,26.7,79,308
2010,7,35.1,27.4,77,167
2010,8,35.1,27.1,79,340
2010,9,34,26.6,80,169
2010,10,35.7,25.1,75,174
2010,11,33.2,20.9,69,0
2010,12,29.7,15.5,66,81
2011,1,27.8,12.2,69,0
2011,2,31,16.9,55,0
2011,3,34.5,21.5,58,20
2011,4,35.8,23.2,65,123
2011,5,35.3,24.6,76,235
2011,6,36,26.3,81,314
2011,7,35.4,26.7,79,356
2011,8,35,26.5,83,409
2011,9,36.2,26.4,77,207
2011,10,34.5,24.7,74,112
2011,11,32.4,19.2,68,0
2011,12,30,15,73,0
2012,1,28.5,14.5,66,10
2012,2,33,16,52,1
2012,3,37.3,22.1,58,37
2012,4,37.1,23.7,70,269
2012,5,36.2,25.8,70,137
2012,6,36.7,26.9,78,175
2012,7,34.3,26.7,80,226
2012,8,34.5,26.6,79,282
2012,9,36.5,26.8,79,81
2012,10,34.4,24.3,72,38
2012,11,32.4,19.1,68,68
2012,12,28.5,14.5,77,5
2013,1,28.1,12.3,65,0
2013,2,32.4,17.5,56,8
2013,3,36,22.1,55,26
2013,4,37,24.4,64,32
2013,5,37.1,24.8,79,378
2013,6,36.4,27.2,77,325
2013,7,34.6,27,78,302
2013,8,35,26.2,81,212
2013,9,35.7,26.3,81,172
2013,10,35.2,24.4,79,131
2013,11,32.1,18.5,67,0
2013,12,30.5,15.6,73,4
2014,1,24.3,13.7,73,0
2014,2,27.2,15.8,62,12.2
2014,3,32.4,20.6,53,10.3
2014,4,36.4,25.1,57,80.3
2014,5,35.2,26.7,69,150
2014,6,33.2,26.5,78,337.5
2014,7,32.9,26.9,78,211.2
2014,8,32.2,26.3,83,389.4
2014,9,32.9,26.5,77,153.9
2014,10,32.2,24,73,48.8
2014,11,30.2,19.7,67,0
2014,12,24.5,15.1,78,0
2015,1,24.77,14.6,71,3.2
2015,2,28.42,17,63,17.6
2015,3,32.1,20.6,53,4.2
2015,4,32.82,23.3,68,167
2015,5,34.08,25.4,71,184.3
2015,6,32.74,26.6,78,353.5
2015,7,31.72,26,82,714.2
2015,8,32.61,26.9,80,329.9
2015,9,32.86,26,78,336.5
2015,10,32.69,24.1,73,50.3
2015,11,30.23,19.9,70,0
2015,12,25.34,16.2,69,1.4
2016,1,24.87,14.1,69,2.8
2016,2,29.8,19,63,12.2
2016,3,33.11,22.5,60,76.2
2016,4,35.13,26.9,72,34.3
2016,5,33.68,24.9,74,213.1
2016,6,33.93,27,76,210.8
2016,7,33.22,26.5,83,401.5
2016,8,33.28,26.8,78,169.9
2016,9,32.87,26.6,82,138.5
2016,10,33.07,25.2,75,76.6
2016,11,29.6,20.2,73,24.1
2016,12,27.75,17,72,0
