,duration,protocol_type,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,class ,,,,
20,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
21,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
22,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
23,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
24,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
25,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
26,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
27,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
28,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
29,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
30,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
31,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
32,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
33,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
34,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
35,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
36,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
37,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
38,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
39,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
40,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
41,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
42,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
43,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
44,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
45,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
46,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
47,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
48,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
49,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,25-49,normal,,,,
50,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
51,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
52,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
53,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
54,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
55,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
56,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
57,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
58,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
59,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
60,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
61,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
62,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
63,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
64,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
65,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
66,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
67,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
68,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
69,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
70,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
71,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
72,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
73,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
74,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
75,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
76,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
77,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
78,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
79,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
80,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
81,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
82,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
83,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
84,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
85,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
86,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
87,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
88,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
89,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
90,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,25-49,normal,,,,
91,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
92,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
93,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
94,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
95,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
96,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
97,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
98,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
99,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
100,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
101,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
102,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
103,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
104,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
105,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
106,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
107,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
108,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
109,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
110,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
111,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
112,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
113,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
114,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
115,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,25-49,normal,,,,
116,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
117,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
118,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
119,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
120,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
121,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
122,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
123,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
124,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
125,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
126,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
127,zero,tcp,one+,one+,25-49,25-49,zero,zero,oneHundred,zero,zero,normal,,,,
128,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
129,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
130,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
131,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
132,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
133,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
134,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
135,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
136,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
137,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
138,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
139,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
140,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
141,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,25-49,normal,,,,
142,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
143,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
144,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
145,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
146,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
147,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
148,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
149,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
150,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
151,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
152,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
153,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
154,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
155,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
156,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
157,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
158,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
159,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
160,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,25-49,normal,,,,
161,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
162,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
163,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
164,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,25-49,normal,,,,
165,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
166,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
167,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
168,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
169,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
170,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
171,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
172,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
173,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
174,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
175,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
176,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
177,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
178,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
179,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
180,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
181,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
182,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
183,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
184,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
185,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
186,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
187,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
188,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
189,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
190,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
191,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
192,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
193,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
194,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
195,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,25-49,normal,,,,
196,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
197,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
198,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
199,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,50-74,normal,,,,
200,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
201,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
202,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
203,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
204,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
205,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
206,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
207,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
208,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
209,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,oneHundred,normal,,,,
210,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
211,zero,tcp,one+,one+,zero,zero,zero,zero,50-74,oneHundred,zero,normal,,,,
212,zero,udp,one+,one+,zero,zero,zero,zero,oneHundred,zero,oneHundred,normal,,,,
213,zero,udp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
214,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
215,one+,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,oneHundred,normal,,,,
216,zero,udp,one+,one+,zero,zero,zero,zero,oneHundred,zero,75-99,normal,,,,
217,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
218,zero,udp,one+,one+,zero,zero,zero,zero,oneHundred,zero,oneHundred,normal,,,,
219,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
220,zero,tcp,one+,one+,zero,zero,zero,zero,25-49,50-74,zero,normal,,,,
221,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
222,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
223,zero,udp,one+,one+,zero,zero,zero,zero,oneHundred,zero,oneHundred,normal,,,,
224,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
225,zero,udp,one+,one+,zero,zero,zero,zero,oneHundred,zero,75-99,normal,,,,
226,zero,tcp,one+,one+,zero,zero,zero,zero,50-74,oneHundred,zero,normal,,,,
227,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
228,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,25-49,normal,,,,
229,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
230,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
231,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
232,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
233,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
234,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
235,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
236,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
237,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
238,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
239,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
240,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
241,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
242,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
243,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,50-74,normal,,,,
244,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
245,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
246,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
247,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
248,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
249,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
250,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
251,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
252,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
253,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
254,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
255,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
256,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
257,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
258,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
259,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
260,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
261,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
262,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
263,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
264,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
265,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
266,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
267,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
268,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
269,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
270,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
271,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
272,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
273,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
274,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
275,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
276,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
277,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
278,zero,tcp,one+,ten+,zero,zero,zero,zero,oneHundred,zero,1to24,normal,,,,
279,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,25-49,normal,,,,
280,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
281,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
282,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
283,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
284,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
285,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
286,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
287,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
288,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
289,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
290,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
291,zero,tcp,one+,one+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
292,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
293,zero,tcp,ten+,ten+,zero,zero,zero,zero,oneHundred,zero,zero,normal,,,,
